שם ישוב,סמל ישוב,בוחרים , מצביעים,פסולים,כשרים,Arabs,Left,Right,Center,Orthodox
אור יהודה,2400,21685.0,13133.0,264.0,12869.0,26.0,1970.0,6784.0,1093.0,2719.0
אור עקיבא,1020,12845.0,7592.0,178.0,7414.0,11.0,453.0,4666.0,1106.0,1004.0
אורה,780,475.0,373.0,2.0,371.0,0.0,66.0,210.0,26.0,49.0
אורות,2012,300.0,236.0,0.0,236.0,0.0,148.0,33.0,49.0,0.0
אורטל,4013,163.0,112.0,1.0,111.0,0.0,48.0,33.0,18.0,0.0
אורים,403,424.0,270.0,2.0,268.0,4.0,209.0,20.0,20.0,0.0
אורנית,3760,3250.0,2502.0,24.0,2478.0,1.0,426.0,1385.0,514.0,64.0
אושה,278,311.0,219.0,5.0,214.0,0.0,178.0,10.0,13.0,0.0
אזור,565,7777.0,5138.0,124.0,5014.0,4.0,1146.0,2411.0,893.0,416.0
אחווה,1157,168.0,126.0,0.0,126.0,0.0,64.0,32.0,30.0,0.0
אחוזם,821,298.0,213.0,2.0,211.0,0.0,4.0,150.0,1.0,52.0
אחוזת ברק,1330,598.0,441.0,5.0,436.0,0.0,132.0,187.0,96.0,10.0
אחיהוד,785,420.0,341.0,3.0,338.0,0.0,12.0,209.0,7.0,103.0
אחיטוב,850,528.0,346.0,2.0,344.0,0.0,79.0,197.0,52.0,12.0
אחיסמך,804,642.0,422.0,3.0,419.0,1.0,51.0,229.0,3.0,128.0
אחיעזר,797,718.0,639.0,14.0,625.0,1.0,9.0,308.0,2.0,298.0
אטרש )שבט(,965,889.0,253.0,15.0,238.0,147.0,47.0,10.0,2.0,4.0
איבים,338,230.0,72.0,1.0,71.0,1.0,13.0,25.0,19.0,1.0
אייל,716,244.0,182.0,1.0,181.0,0.0,136.0,24.0,15.0,2.0
איילת השחר,77,914.0,610.0,27.0,583.0,2.0,339.0,50.0,56.0,106.0
אילון,294,490.0,358.0,3.0,355.0,0.0,309.0,12.0,20.0,0.0
אילות,1126,252.0,183.0,3.0,180.0,1.0,94.0,50.0,30.0,0.0
אילניה,49,359.0,238.0,1.0,237.0,1.0,55.0,108.0,48.0,8.0
אילת,2600,39563.0,17922.0,266.0,17656.0,79.0,3419.0,9107.0,2918.0,1321.0
איתמר,3762,205.0,163.0,1.0,162.0,0.0,0.0,109.0,0.0,23.0
איתן,37,270.0,218.0,4.0,214.0,0.0,12.0,68.0,3.0,122.0
אכסאל,478,5562.0,2441.0,59.0,2382.0,1874.0,330.0,51.0,72.0,8.0
אל-רום,4003,233.0,152.0,1.0,151.0,1.0,75.0,38.0,32.0,0.0
אלומה,1145,191.0,170.0,0.0,170.0,1.0,1.0,3.0,0.0,165.0
אלומות,330,200.0,131.0,0.0,131.0,0.0,90.0,7.0,20.0,3.0
אלון הגליל,1182,412.0,331.0,1.0,330.0,0.0,203.0,48.0,68.0,1.0
אלון מורה,3579,618.0,481.0,3.0,478.0,0.0,2.0,367.0,3.0,34.0
אלון שבות,3604,1674.0,1385.0,6.0,1379.0,0.0,12.0,1142.0,92.0,37.0
אלוני אבא,429,191.0,159.0,2.0,157.0,1.0,105.0,21.0,23.0,1.0
אלוני הבשן,4017,90.0,78.0,0.0,78.0,0.0,1.0,72.0,0.0,2.0
אלוני יצחק,868,123.0,27.0,0.0,27.0,0.0,6.0,9.0,9.0,0.0
אלונים,285,470.0,349.0,3.0,346.0,0.0,270.0,21.0,35.0,2.0
אלי סיני,5428,266.0,194.0,1.0,193.0,0.0,18.0,134.0,20.0,13.0
אלי-עד,4002,188.0,114.0,1.0,113.0,0.0,21.0,43.0,40.0,2.0
אליכין,41,1744.0,1341.0,26.0,1315.0,3.0,188.0,770.0,36.0,281.0
אליפלט,730,333.0,228.0,2.0,226.0,0.0,30.0,124.0,3.0,63.0
אליקים,682,406.0,332.0,6.0,326.0,1.0,10.0,100.0,3.0,200.0
אלישיב,204,337.0,251.0,2.0,249.0,0.0,24.0,137.0,12.0,67.0
אלישמע,841,542.0,418.0,2.0,416.0,0.0,72.0,233.0,25.0,73.0
אלמגור,1125,220.0,155.0,0.0,155.0,0.0,101.0,16.0,27.0,0.0
אלמוג,3556,76.0,49.0,0.0,49.0,0.0,28.0,12.0,6.0,0.0
אלעד,1309,7042.0,6407.0,42.0,6365.0,1.0,20.0,866.0,6.0,5303.0
אלעזר,3618,432.0,363.0,2.0,361.0,0.0,6.0,278.0,28.0,12.0
אלפי מנשה,3750,3776.0,2791.0,21.0,2770.0,0.0,351.0,1760.0,488.0,65.0
אלקוש,603,232.0,169.0,1.0,168.0,0.0,56.0,82.0,0.0,29.0
אלקנה,3560,2130.0,1788.0,7.0,1781.0,1.0,15.0,1574.0,30.0,80.0
אמונים,772,544.0,368.0,7.0,361.0,0.0,86.0,184.0,48.0,30.0
אמירים,1064,375.0,243.0,3.0,240.0,3.0,115.0,43.0,31.0,14.0
אמנון,1253,196.0,127.0,1.0,126.0,1.0,25.0,56.0,11.0,18.0
אמציה,23,106.0,67.0,0.0,67.0,0.0,9.0,44.0,6.0,2.0
אניעם,4012,208.0,155.0,4.0,151.0,1.0,43.0,60.0,33.0,3.0
אסד )שבט(,960,464.0,117.0,14.0,103.0,33.0,39.0,4.0,1.0,22.0
אספר,3754,123.0,75.0,0.0,75.0,0.0,1.0,13.0,1.0,47.0
אעבלין,529,5880.0,4183.0,80.0,4103.0,2890.0,511.0,307.0,3.0,58.0
אעצם )שבט(,963,2302.0,754.0,22.0,732.0,520.0,91.0,9.0,6.0,59.0
אפיק,4301,218.0,131.0,1.0,130.0,0.0,60.0,26.0,35.0,1.0
אפיקים,176,1016.0,712.0,8.0,704.0,1.0,554.0,32.0,70.0,3.0
אפק,313,393.0,289.0,3.0,286.0,3.0,230.0,14.0,23.0,1.0
אפרתה,3650,3748.0,2971.0,10.0,2961.0,1.0,61.0,2290.0,276.0,93.0
ארבל,701,263.0,162.0,3.0,159.0,0.0,66.0,40.0,22.0,26.0
ארגמן,3598,117.0,73.0,1.0,72.0,0.0,5.0,57.0,6.0,3.0
ארז,714,292.0,214.0,0.0,214.0,0.0,165.0,19.0,22.0,0.0
אריאל,3570,12079.0,7813.0,138.0,7675.0,7.0,250.0,5908.0,932.0,293.0
אשבול,71,223.0,165.0,5.0,160.0,0.0,63.0,63.0,10.0,19.0
אשדוד,70,137648.0,87640.0,1870.0,85770.0,143.0,9514.0,39610.0,15878.0,19009.0
אשדות יעקב  )איחו,199,438.0,319.0,3.0,316.0,0.0,216.0,46.0,34.0,6.0
אשדות יעקב  )מאוח,188,359.0,235.0,6.0,229.0,0.0,161.0,22.0,28.0,4.0
אשחר,1188,229.0,176.0,2.0,174.0,1.0,70.0,70.0,26.0,3.0
אשכולות,3722,113.0,80.0,0.0,80.0,0.0,12.0,48.0,14.0,2.0
אשל הנשיא,2021,102.0,67.0,1.0,66.0,2.0,30.0,22.0,10.0,0.0
אשלים,1152,135.0,81.0,0.0,81.0,0.0,34.0,25.0,15.0,2.0
אשקלון,7100,80386.0,48247.0,1153.0,47094.0,100.0,6400.0,24099.0,8820.0,6526.0
אשרת,1256,284.0,187.0,3.0,184.0,1.0,30.0,111.0,21.0,17.0
אשתאול,740,426.0,324.0,2.0,322.0,0.0,31.0,152.0,18.0,113.0
באקה אל-גרביה,6000,11486.0,5556.0,226.0,5330.0,3470.0,1359.0,29.0,6.0,24.0
באר טוביה,155,538.0,426.0,2.0,424.0,0.0,278.0,63.0,75.0,3.0
באר יעקב,2530,4662.0,3107.0,46.0,3061.0,12.0,623.0,1446.0,365.0,506.0
באר שבע,9000,139246.0,79988.0,1667.0,78321.0,322.0,12612.0,38860.0,14423.0,9993.0
בארות יצחק,450,386.0,257.0,1.0,256.0,0.0,37.0,193.0,18.0,1.0
בארותיים,697,442.0,305.0,4.0,301.0,0.0,110.0,120.0,61.0,2.0
בארי,399,690.0,539.0,7.0,532.0,1.0,472.0,20.0,21.0,1.0
בדולח,5432,113.0,90.0,0.0,90.0,0.0,0.0,72.0,0.0,15.0
בוסתן הגליל,559,347.0,250.0,1.0,249.0,0.0,108.0,75.0,49.0,6.0
בועיינה-נוג'ידאת,482,3608.0,2405.0,98.0,2307.0,1471.0,570.0,44.0,1.0,77.0
בוקעאתא,4001,217.0,86.0,0.0,86.0,0.0,6.0,77.0,1.0,2.0
בורגתה,698,560.0,406.0,5.0,401.0,0.0,159.0,123.0,87.0,11.0
בחן,2043,249.0,220.0,1.0,219.0,1.0,118.0,56.0,18.0,5.0
בטחה,762,472.0,360.0,2.0,358.0,0.0,14.0,203.0,4.0,132.0
ביצרון,234,606.0,464.0,3.0,461.0,2.0,205.0,121.0,121.0,2.0
ביר אל-מכסור,998,3696.0,1786.0,56.0,1730.0,750.0,478.0,242.0,28.0,47.0
ביריה,368,469.0,344.0,3.0,341.0,1.0,52.0,169.0,12.0,95.0
בית אורן,317,237.0,126.0,0.0,126.0,0.0,66.0,26.0,24.0,0.0
בית אל,3574,2252.0,1964.0,9.0,1955.0,1.0,7.0,1562.0,19.0,82.0
בית אלעזרי,562,661.0,471.0,7.0,464.0,0.0,141.0,187.0,93.0,16.0
בית אלפא,95,557.0,386.0,5.0,381.0,0.0,335.0,9.0,17.0,0.0
בית אריה,3652,1592.0,1240.0,12.0,1228.0,0.0,95.0,889.0,183.0,21.0
בית ג'ן,480,5504.0,3971.0,77.0,3894.0,441.0,1522.0,1716.0,59.0,146.0
בית גוברין,619,174.0,171.0,0.0,171.0,1.0,99.0,36.0,26.0,5.0
בית גמליאל,571,516.0,418.0,4.0,414.0,1.0,15.0,352.0,10.0,22.0
בית דגן,466,3416.0,2568.0,42.0,2526.0,4.0,416.0,1406.0,286.0,356.0
בית הגדי,723,396.0,311.0,5.0,306.0,0.0,4.0,204.0,1.0,92.0
בית הלוי,373,375.0,292.0,3.0,289.0,0.0,159.0,66.0,52.0,0.0
בית הלל,322,399.0,273.0,2.0,271.0,0.0,127.0,41.0,95.0,0.0
בית העמק,572,425.0,301.0,1.0,300.0,2.0,211.0,18.0,58.0,1.0
בית הערבה,3645,36.0,24.0,1.0,23.0,1.0,5.0,8.0,5.0,2.0
בית השיטה,242,895.0,615.0,4.0,611.0,1.0,471.0,64.0,60.0,0.0
בית זית,710,833.0,615.0,5.0,610.0,0.0,263.0,195.0,103.0,13.0
בית זרע,143,586.0,396.0,4.0,392.0,0.0,319.0,17.0,33.0,1.0
בית חורון,3575,452.0,361.0,0.0,361.0,0.0,11.0,283.0,18.0,19.0
בית חלקיה,2033,203.0,173.0,4.0,169.0,0.0,0.0,5.0,0.0,162.0
בית חנן,159,424.0,322.0,2.0,320.0,0.0,175.0,63.0,76.0,0.0
בית חנניה,800,344.0,274.0,1.0,273.0,0.0,116.0,63.0,82.0,0.0
בית חרות,877,432.0,330.0,3.0,327.0,0.0,232.0,23.0,56.0,1.0
בית חשמונאי,1050,515.0,358.0,1.0,357.0,2.0,67.0,213.0,53.0,13.0
בית יהושע,288,488.0,382.0,2.0,380.0,3.0,152.0,107.0,94.0,5.0
בית יוסף,265,281.0,184.0,3.0,181.0,0.0,11.0,88.0,2.0,77.0
בית ינאי,200,259.0,179.0,3.0,176.0,2.0,111.0,13.0,41.0,1.0
בית יצחק-שער חפר,326,1262.0,950.0,9.0,941.0,3.0,512.0,167.0,232.0,3.0
בית לחם הגלילית,430,396.0,315.0,3.0,312.0,0.0,172.0,71.0,49.0,0.0
בית מאיר,751,302.0,235.0,1.0,234.0,0.0,3.0,163.0,11.0,41.0
בית נחמיה,784,406.0,310.0,1.0,309.0,0.0,87.0,150.0,40.0,16.0
בית ניר,16,217.0,156.0,0.0,156.0,1.0,137.0,1.0,2.0,0.0
בית נקופה,672,291.0,204.0,0.0,204.0,0.0,63.0,96.0,28.0,11.0
בית עובד,202,255.0,205.0,1.0,204.0,1.0,139.0,32.0,29.0,0.0
בית עוזיאל,301,310.0,210.0,1.0,209.0,0.0,25.0,136.0,13.0,31.0
בית עזרא,756,558.0,403.0,2.0,401.0,0.0,138.0,196.0,26.0,31.0
בית עריף,604,442.0,350.0,6.0,344.0,0.0,16.0,209.0,3.0,111.0
בית קמה,598,277.0,171.0,1.0,170.0,0.0,140.0,10.0,19.0,0.0
בית קשת,365,275.0,179.0,1.0,178.0,1.0,133.0,12.0,23.0,1.0
בית רבן,848,127.0,94.0,0.0,94.0,0.0,0.0,65.0,0.0,27.0
בית רימון,1162,118.0,95.0,2.0,93.0,0.0,17.0,61.0,4.0,8.0
בית שאן,9200,11510.0,7167.0,109.0,7058.0,8.0,751.0,3805.0,284.0,1976.0
בית שמש,2610,29343.0,20540.0,337.0,20203.0,22.0,1217.0,8766.0,2201.0,7213.0
בית שערים,248,444.0,313.0,0.0,313.0,2.0,156.0,80.0,65.0,0.0
בית שקמה,747,427.0,243.0,5.0,238.0,1.0,18.0,166.0,7.0,30.0
ביתן אהרן,252,421.0,324.0,6.0,318.0,0.0,154.0,93.0,54.0,4.0
ביתר עילית,3780,7522.0,6241.0,65.0,6176.0,0.0,4.0,107.0,7.0,5587.0
בלפוריה,94,226.0,187.0,1.0,186.0,0.0,76.0,57.0,40.0,1.0
בן זכאי,760,372.0,304.0,2.0,302.0,0.0,3.0,161.0,2.0,127.0
בן עמי,712,325.0,230.0,5.0,225.0,0.0,113.0,67.0,32.0,2.0
בן שמן )כפר נוער(,1084,254.0,159.0,0.0,159.0,1.0,89.0,60.0,0.0,4.0
בן שמן )מושב(,2013,398.0,288.0,0.0,288.0,0.0,134.0,91.0,52.0,1.0
בני ברק,6100,79243.0,60412.0,578.0,59834.0,39.0,1987.0,9989.0,1814.0,44789.0
בני דרום,592,223.0,190.0,1.0,189.0,0.0,9.0,171.0,3.0,0.0
בני דרור,386,608.0,502.0,14.0,488.0,0.0,238.0,132.0,104.0,1.0
בני יהודה,4015,702.0,444.0,2.0,442.0,0.0,138.0,166.0,101.0,3.0
בני עטרות,448,378.0,298.0,2.0,296.0,0.0,167.0,81.0,38.0,2.0
"בני עי""ש",1066,5285.0,3714.0,113.0,3601.0,6.0,265.0,1782.0,1126.0,357.0
בני עצמון,5425,191.0,181.0,0.0,181.0,0.0,0.0,159.0,1.0,6.0
בני ציון,418,516.0,386.0,3.0,383.0,2.0,169.0,107.0,81.0,11.0
בני ראם,588,525.0,434.0,8.0,426.0,2.0,9.0,240.0,5.0,158.0
בניה,685,457.0,353.0,2.0,351.0,2.0,156.0,102.0,81.0,6.0
בנימינה,9800,4366.0,3240.0,43.0,3197.0,7.0,1061.0,1269.0,558.0,160.0
"בסמ""ה",1326,3521.0,2415.0,58.0,2357.0,1044.0,510.0,17.0,7.0,42.0
בסמת טבעון,944,3338.0,1518.0,57.0,1461.0,766.0,512.0,76.0,32.0,14.0
בענה,483,3426.0,2421.0,34.0,2387.0,1368.0,249.0,116.0,3.0,192.0
בצרה,389,471.0,365.0,5.0,360.0,1.0,160.0,66.0,85.0,7.0
בצת,589,250.0,178.0,3.0,175.0,1.0,67.0,74.0,22.0,1.0
בקוע,864,373.0,272.0,3.0,269.0,1.0,49.0,155.0,3.0,44.0
בקעות,3612,128.0,82.0,0.0,82.0,0.0,22.0,39.0,16.0,1.0
בר גיורא,823,263.0,197.0,2.0,195.0,2.0,29.0,114.0,15.0,19.0
בר יוחאי,1191,188.0,142.0,0.0,142.0,0.0,0.0,86.0,8.0,40.0
ברור חיל,428,454.0,290.0,1.0,289.0,1.0,226.0,25.0,25.0,0.0
ברוש,2060,183.0,138.0,2.0,136.0,0.0,47.0,68.0,3.0,17.0
ברכה,3710,457.0,347.0,4.0,343.0,0.0,2.0,306.0,1.0,8.0
ברכיה,746,552.0,449.0,3.0,446.0,0.0,8.0,240.0,0.0,189.0
ברעם,667,445.0,291.0,2.0,289.0,1.0,243.0,15.0,20.0,1.0
ברק,141,233.0,150.0,2.0,148.0,0.0,56.0,65.0,8.0,12.0
ברקאי,617,396.0,276.0,1.0,275.0,3.0,222.0,22.0,11.0,2.0
ברקן,3654,851.0,613.0,3.0,610.0,1.0,27.0,497.0,57.0,4.0
ברקת,2038,566.0,505.0,4.0,501.0,0.0,4.0,212.0,0.0,211.0
בת הדר,1323,182.0,125.0,1.0,124.0,1.0,47.0,63.0,8.0,2.0
בת חפר,1319,2559.0,1917.0,11.0,1906.0,2.0,609.0,717.0,445.0,39.0
בת ים,6200,123790.0,69227.0,1454.0,67773.0,153.0,11400.0,34292.0,12735.0,7443.0
בת עין,3794,272.0,204.0,2.0,202.0,0.0,1.0,53.0,11.0,30.0
בת שלמה,33,246.0,173.0,1.0,172.0,0.0,60.0,66.0,34.0,5.0
ג'דיידה-מכר,1292,8966.0,5730.0,115.0,5615.0,4994.0,469.0,39.0,6.0,15.0
ג'ולס,485,3007.0,2237.0,31.0,2206.0,37.0,1286.0,770.0,21.0,88.0
ג'לג'וליה,627,3640.0,2911.0,49.0,2862.0,1999.0,837.0,5.0,6.0,5.0
ג'נאביב )שבט(,976,169.0,131.0,3.0,128.0,41.0,48.0,5.0,2.0,5.0
ג'סר א-זרקא,541,5259.0,1871.0,55.0,1816.0,1232.0,238.0,10.0,4.0,208.0
ג'ש )גוש חלב(,487,1886.0,1076.0,18.0,1058.0,542.0,388.0,93.0,1.0,20.0
ג'ת,628,4882.0,1822.0,67.0,1755.0,1192.0,322.0,56.0,7.0,2.0
גאולי תימן,872,278.0,200.0,0.0,200.0,0.0,38.0,145.0,8.0,6.0
גאולים,379,502.0,365.0,11.0,354.0,0.0,116.0,159.0,26.0,44.0
גאליה,853,683.0,499.0,6.0,493.0,0.0,166.0,158.0,145.0,7.0
גבולות,352,238.0,146.0,1.0,145.0,3.0,130.0,6.0,2.0,0.0
גבים,424,292.0,218.0,0.0,218.0,1.0,161.0,17.0,27.0,0.0
גבע,86,449.0,362.0,1.0,361.0,0.0,311.0,9.0,24.0,3.0
גבע בנימין,3763,900.0,703.0,6.0,697.0,0.0,36.0,511.0,60.0,68.0
גבע כרמל,683,455.0,343.0,3.0,340.0,1.0,165.0,116.0,34.0,11.0
גבעולים,2014,193.0,151.0,1.0,150.0,0.0,13.0,80.0,3.0,51.0
גבעון החדשה,3644,815.0,596.0,10.0,586.0,0.0,56.0,411.0,91.0,7.0
גבעת אבני,1293,1027.0,752.0,9.0,743.0,1.0,213.0,275.0,150.0,85.0
גבעת אלה,1288,1093.0,850.0,5.0,845.0,5.0,421.0,153.0,235.0,7.0
גבעת ברנר,147,1238.0,821.0,11.0,810.0,3.0,630.0,62.0,76.0,6.0
גבעת השלושה,870,386.0,290.0,1.0,289.0,0.0,231.0,30.0,13.0,1.0
גבעת זאב,3730,6883.0,5102.0,35.0,5067.0,2.0,463.0,3193.0,623.0,577.0
"גבעת ח""ן",207,267.0,212.0,3.0,209.0,0.0,136.0,34.0,30.0,1.0
גבעת חיים )איחוד(,2018,771.0,544.0,8.0,536.0,0.0,477.0,13.0,29.0,1.0
גבעת חיים )מאוחד(,173,828.0,604.0,3.0,601.0,1.0,482.0,41.0,60.0,2.0
גבעת יואב,4021,341.0,227.0,1.0,226.0,0.0,59.0,76.0,63.0,3.0
גבעת יערים,787,575.0,439.0,3.0,436.0,0.0,84.0,252.0,38.0,35.0
גבעת ישעיהו,919,219.0,144.0,2.0,142.0,0.0,55.0,54.0,21.0,9.0
"גבעת כ""ח",802,347.0,225.0,3.0,222.0,0.0,22.0,146.0,2.0,43.0
"גבעת ניל""י",360,267.0,207.0,1.0,206.0,0.0,15.0,158.0,20.0,2.0
גבעת עדה,50,1661.0,1279.0,15.0,1264.0,3.0,416.0,431.0,196.0,164.0
גבעת עוז,703,374.0,253.0,3.0,250.0,0.0,191.0,29.0,13.0,1.0
גבעת שמואל,681,11094.0,8231.0,71.0,8160.0,22.0,1789.0,4216.0,1353.0,531.0
גבעת שפירא,1077,108.0,82.0,1.0,81.0,0.0,42.0,13.0,25.0,0.0
גבעתי,793,461.0,300.0,5.0,295.0,2.0,76.0,178.0,18.0,12.0
גבעתיים,6300,41735.0,29036.0,404.0,28632.0,86.0,11349.0,9750.0,5760.0,810.0
גברעם,342,231.0,166.0,0.0,166.0,0.0,114.0,18.0,11.0,1.0
גבת,133,588.0,437.0,8.0,429.0,1.0,366.0,22.0,29.0,0.0
גדות,35,347.0,219.0,4.0,215.0,0.0,170.0,6.0,29.0,0.0
גדיד,5429,180.0,146.0,2.0,144.0,0.0,0.0,115.0,1.0,14.0
גדיש,145,242.0,186.0,1.0,185.0,0.0,15.0,131.0,0.0,39.0
גדעונה,442,140.0,96.0,5.0,91.0,0.0,7.0,66.0,2.0,10.0
גדרה,2550,7620.0,5389.0,86.0,5303.0,14.0,1326.0,2503.0,696.0,611.0
גונן,852,339.0,198.0,1.0,197.0,1.0,134.0,19.0,30.0,0.0
גורן,755,319.0,218.0,3.0,215.0,1.0,49.0,101.0,4.0,57.0
גורנות הגליל,1219,138.0,65.0,0.0,65.0,0.0,6.0,36.0,14.0,9.0
גזית,457,557.0,415.0,3.0,412.0,1.0,373.0,10.0,22.0,0.0
גזר,370,274.0,131.0,2.0,129.0,4.0,80.0,11.0,22.0,0.0
גיאה,706,396.0,270.0,3.0,267.0,0.0,113.0,82.0,60.0,5.0
גיבתון,196,223.0,175.0,1.0,174.0,0.0,104.0,35.0,26.0,0.0
גיזו,1043,80.0,62.0,0.0,62.0,0.0,17.0,29.0,16.0,0.0
גילון,1204,489.0,373.0,1.0,372.0,0.0,165.0,86.0,115.0,2.0
גילת,736,584.0,404.0,4.0,400.0,0.0,99.0,232.0,13.0,48.0
גינוסר,262,448.0,301.0,2.0,299.0,0.0,204.0,39.0,32.0,3.0
גיניגר,92,380.0,264.0,2.0,262.0,3.0,204.0,17.0,19.0,1.0
גינתון,863,419.0,326.0,5.0,321.0,1.0,148.0,84.0,78.0,5.0
גיתה,1206,147.0,108.0,2.0,106.0,0.0,27.0,45.0,30.0,1.0
גיתית,3613,93.0,52.0,0.0,52.0,0.0,10.0,31.0,9.0,0.0
גלאון,393,327.0,212.0,2.0,210.0,1.0,173.0,7.0,11.0,2.0
גלגל,3606,104.0,64.0,0.0,64.0,0.0,24.0,24.0,15.0,0.0
גליל ים,346,255.0,181.0,1.0,180.0,1.0,153.0,12.0,13.0,0.0
גלעד )אבן יצחק(,369,312.0,226.0,1.0,225.0,0.0,175.0,10.0,25.0,0.0
גמזו,745,446.0,361.0,0.0,361.0,0.0,13.0,246.0,5.0,63.0
גן אור,5431,157.0,136.0,0.0,136.0,0.0,0.0,118.0,0.0,8.0
גן הדרום,1072,278.0,209.0,1.0,208.0,0.0,47.0,122.0,24.0,11.0
גן השומרון,225,460.0,334.0,1.0,333.0,0.0,163.0,67.0,76.0,1.0
גן חיים,239,410.0,334.0,2.0,332.0,3.0,188.0,59.0,65.0,4.0
גן יאשיה,734,344.0,254.0,2.0,252.0,0.0,138.0,56.0,45.0,1.0
גן יבנה,166,7275.0,5127.0,50.0,5077.0,7.0,1139.0,2436.0,830.0,520.0
גן נר,1274,1220.0,902.0,9.0,893.0,2.0,259.0,420.0,140.0,31.0
גן שורק,311,195.0,144.0,1.0,143.0,0.0,62.0,48.0,30.0,0.0
גן שלמה,144,341.0,256.0,1.0,255.0,0.0,210.0,18.0,20.0,0.0
גן שמואל,72,774.0,581.0,6.0,575.0,1.0,524.0,14.0,8.0,0.0
גנות,836,274.0,213.0,0.0,213.0,0.0,70.0,93.0,45.0,5.0
גנות הדר,549,168.0,136.0,0.0,136.0,0.0,51.0,38.0,44.0,1.0
גני הדר,1103,124.0,94.0,0.0,94.0,0.0,40.0,27.0,22.0,0.0
גני טל,5424,241.0,194.0,1.0,193.0,0.0,0.0,178.0,4.0,7.0
גני יהודה,781,623.0,453.0,1.0,452.0,2.0,243.0,84.0,102.0,8.0
גני יוחנן,862,371.0,260.0,1.0,259.0,0.0,80.0,115.0,37.0,14.0
גני עם,218,190.0,153.0,2.0,151.0,0.0,79.0,23.0,40.0,2.0
גני תקווה,229,8657.0,6368.0,71.0,6297.0,10.0,1688.0,2497.0,1053.0,910.0
גנים,3758,117.0,67.0,0.0,67.0,0.0,6.0,48.0,8.0,1.0
געש,842,474.0,343.0,0.0,343.0,3.0,308.0,9.0,11.0,1.0
געתון,463,420.0,265.0,1.0,264.0,4.0,204.0,12.0,18.0,1.0
